# parameters
version_bit_string:13816762181795971082,seed:5489,burn_in:100000,num_iter:1000000,stats_thin:1000,block_penalty:50,prior_rate_mean:1,window_size:50,partition_length:4001,overlap_length:200,pade_resolution:10,pade_max:1000,max_lk_start:0.001,max_lk_resolution:0.001,num_snps:1016,num_snp_partitions:1,num_samps:1000
# left_snp right_snp mean p0.025 p0.500 p0.975
0 1 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
1 2 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
2 3 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
3 4 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
4 5 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
5 6 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
6 7 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
7 8 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
8 9 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
9 10 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
10 11 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
11 12 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
12 13 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
13 14 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
14 16 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
16 17 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
17 18 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
18 19 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
19 20 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
20 21 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
21 22 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
22 24 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
24 25 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
25 27 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
27 28 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
28 29 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
29 30 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
30 31 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
31 32 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
32 33 6.0881e+00 5.5907e+00 6.0524e+00 6.6613e+00
